"","a99","name","a12","a9","FBK","DRG","kills_ADC","deaths_ADC","assists_ADC","kills_SUP","deaths_SUP","assists_SUP","ADC","SUP","KDA_mean","totalDamageDealtToChampions_mean","visionScore_mean","totalDamageTaken_mean","goldEarned_mean","visionWardsBoughtInGame_mean"
"49",4600648464,"Sivir & Sett",100,TRUE,FALSE,TRUE,5,1,9,2,5,11,"Sivir","Sett",9.1,13885,53.5,14079,11403.5,7.5
"50",4600648464,"Ezreal & Bard",200,FALSE,FALSE,FALSE,0,6,9,0,8,12,"Ezreal","Bard",1.5,12384,28,21500.5,7559,5
"51",4606508258,"Jhin & Lux",100,FALSE,FALSE,FALSE,6,5,9,7,6,8,"Jhin","Lux",8.07,21860.5,48,18478,13493,11
"52",4606508258,"Tristana & Bard",200,TRUE,FALSE,TRUE,12,5,9,1,7,19,"Tristana","Bard",8.76,17638,95,21999,14117.5,7.5
"53",4606810736,"Lucian & Tahm Kench",100,FALSE,FALSE,TRUE,5,8,12,0,6,15,"Lucian","Tahm Kench",4.5,20106.5,54,30507,11174.5,8
"54",4606810736,"Ashe & Shen",200,TRUE,TRUE,FALSE,7,5,16,4,5,18,"Ashe","Shen",8.9,18047.5,66,31474,13087,7
"55",4609353472,"Orianna & Alistar",100,TRUE,FALSE,TRUE,8,3,10,1,4,15,"Orianna","Alistar",8.04,11142.5,45,14001.5,9522,7
"56",4609353472,"Lucian & Sett",200,FALSE,FALSE,FALSE,5,5,1,1,9,7,"Lucian","Sett",3.49,9753,46,18734.5,8792.5,7.5
"57",4615906802,"Jhin & Karma",100,FALSE,FALSE,FALSE,2,3,5,1,2,5,"Jhin","Karma",3.58,6605.5,35.5,11776.5,7977,3.5
"58",4615906802,"Ziggs & Thresh",200,TRUE,FALSE,TRUE,1,2,7,2,2,11,"Ziggs","Thresh",6,9096,44,8646.5,8581.5,7
"59",4618161896,"Jhin & Shen",100,TRUE,FALSE,FALSE,5,3,10,1,4,10,"Jhin","Shen",5.92,8863.5,41,9943,8793.5,6
"60",4618161896,"Miss Fortune & Tahm Kench",200,FALSE,FALSE,TRUE,2,5,2,0,5,4,"Miss Fortune","Tahm Kench",1.6,9307.5,28,11731.5,7341.5,3.5
"61",4619909425,"Senna & Leona",100,FALSE,FALSE,FALSE,12,4,15,0,7,19,"Senna","Leona",9.23,21367,71.5,21269.5,12579,6.5
"62",4619909425,"Kai'Sa & Nautilus",200,TRUE,FALSE,TRUE,13,7,17,3,6,28,"Kai'Sa","Nautilus",11.55,19768.5,54,28182,13366.5,9.5
"63",4621333154,"Ashe & Bard",100,TRUE,FALSE,TRUE,1,1,10,1,3,11,"Ashe","Bard",7.83,6547.5,33,6255,7058.5,4.5
"64",4621333154,"Lucian & Thresh",200,FALSE,FALSE,FALSE,0,1,3,0,5,4,"Lucian","Thresh",1.9,4174.5,18,7600.5,5344,5.5
"65",4622886614,"Senna & Rakan",100,FALSE,FALSE,FALSE,1,6,7,2,5,10,"Senna","Rakan",3.08,6806,25.5,12983.5,6907,4.5
"66",4622886614,"Lucian & Pyke",200,TRUE,FALSE,TRUE,7,4,7,7,5,10,"Lucian","Pyke",8.88,14630.5,44.5,14403,11508,2.5
"67",4625959978,"Caitlyn & Bard",100,TRUE,FALSE,TRUE,9,3,5,2,2,20,"Caitlyn","Bard",11.33,18331,54.5,15051.5,11918.5,6.5
"68",4625959978,"Ezreal & Sett",200,FALSE,FALSE,FALSE,3,4,5,0,7,5,"Ezreal","Sett",2.48,11849,42,19818.5,8594.5,2
"69",4626029350,"Ashe & Karma",100,TRUE,FALSE,TRUE,4,5,8,1,6,14,"Ashe","Karma",4.47,12054.5,39,12794,9510,7
"70",4626029350,"Ezreal & Bard",200,FALSE,FALSE,FALSE,7,6,10,5,7,12,"Ezreal","Bard",7.69,14044.5,27,20594,9868,4
"71",4626570591,"Ezreal & Bard",100,TRUE,TRUE,TRUE,4,2,10,1,2,17,"Ezreal","Bard",9.25,12197.5,40,13935.5,8794.5,3
"72",4626570591,"Syndra & Thresh",200,FALSE,TRUE,FALSE,1,8,4,0,4,6,"Syndra","Thresh",1.5,11600.5,34,13247.5,6905,6.5
"73",4630166499,"Ashe & Karma",100,FALSE,FALSE,TRUE,2,8,2,0,2,9,"Ashe","Karma",3.38,10865.5,60,21823,9322,6.5
"74",4630166499,"Caitlyn & Lux",200,TRUE,FALSE,FALSE,8,3,9,1,4,18,"Caitlyn","Lux",8.25,26461.5,49,23084,14378,19.5
"75",4631383934,"Miss Fortune & Bard",100,TRUE,FALSE,FALSE,6,3,4,1,2,10,"Miss Fortune","Bard",6.67,9762.5,46.5,9712.5,8465.5,6
"76",4631383934,"Yone & Lulu",200,FALSE,FALSE,TRUE,2,6,1,2,2,6,"Yone","Lulu",3.58,6990.5,24,12383.5,7467,2.5
"77",4632463846,"Jhin & Bard",100,FALSE,FALSE,FALSE,11,4,8,0,10,18,"Jhin","Bard",7.4,19513,42.5,22149.5,10911.5,2
"78",4632463846,"Caitlyn & Morgana",200,TRUE,TRUE,TRUE,13,3,9,3,6,24,"Caitlyn","Morgana",11.5,23113.5,54,18765.5,14247.5,6.5
"79",4633422269,"Lucian & Thresh",100,TRUE,FALSE,TRUE,10,3,9,3,3,13,"Lucian","Thresh",10.17,19180.5,63,17002.5,12443,10.5
"80",4633422269,"Jhin & Bard",200,FALSE,FALSE,FALSE,0,1,1,3,11,5,"Jhin","Bard",2.23,8908.5,56,18289,9379,6.5
"81",4635205845,"Lucian & Thresh",100,FALSE,FALSE,TRUE,7,8,1,1,4,11,"Lucian","Thresh",5.44,17544.5,66.5,25430.5,12529,11.5
"82",4635205845,"Senna & Bard",200,TRUE,FALSE,FALSE,3,5,16,4,4,13,"Senna","Bard",6.72,16415.5,81.5,24755.5,12233.5,6.5
"83",4635434090,"Ashe & Lulu",100,TRUE,FALSE,FALSE,8,3,14,3,5,20,"Ashe","Lulu",9.83,28032,66.5,20674,13453,8
"84",4635434090,"Kennen & Bard",200,FALSE,FALSE,TRUE,1,8,12,4,4,20,"Kennen","Bard",5.75,20004.5,75.5,30011,11388,9
"85",4635456176,"Jhin & Bard",100,TRUE,FALSE,FALSE,6,2,7,1,4,16,"Jhin","Bard",7.25,11723.5,37.5,8519,8683,5
"86",4635456176,"Kai'Sa & Pyke",200,FALSE,TRUE,TRUE,6,3,3,2,5,6,"Kai'Sa","Pyke",5.1,10585,19.5,13345,7797.5,2.5
"87",4636220051,"Twitch & Maokai",100,TRUE,FALSE,TRUE,3,2,7,2,3,10,"Twitch","Maokai",5.92,6282.5,31.5,8280.5,7758.5,3
"88",4636220051,"Kai'Sa & Pyke",200,FALSE,FALSE,FALSE,1,5,0,0,1,4,"Kai'Sa","Pyke",2.5,3361,29.5,8357.5,6521,3.5
"89",4636273256,"Twitch & Leona",100,TRUE,TRUE,TRUE,8,3,13,3,3,16,"Twitch","Leona",10.33,15522.5,68.5,17884,12960,6
"90",4636273256,"Aphelios & Lux",200,FALSE,TRUE,FALSE,5,11,4,0,7,8,"Aphelios","Lux",3.25,12773.5,33.5,17049.5,9183.5,7.5
"91",4636303009,"Ezreal & Bard",100,FALSE,FALSE,FALSE,3,4,2,0,4,3,"Ezreal","Bard",2.12,9741,48.5,12178,7577,6.5
"92",4636303009,"Twitch & Pyke",200,TRUE,TRUE,TRUE,9,2,5,4,1,8,"Twitch","Pyke",11.75,9908,53,11349,10881,7
"93",4636569223,"Miss Fortune & Pyke",100,FALSE,FALSE,FALSE,1,5,2,0,9,1,"Miss Fortune","Pyke",0.76,4131.5,29,14467,6100.5,4
"94",4636569223,"Ezreal & Karma",200,TRUE,FALSE,TRUE,8,1,11,5,1,16,"Ezreal","Karma",20,15639.5,41.5,9474,10342,4
"95",4637605322,"Kalista & Thresh",100,FALSE,FALSE,FALSE,3,7,3,0,7,9,"Kalista","Thresh",2.36,7843.5,31.5,17395.5,6525,5
"96",4637605322,"Ziggs & Bard",200,TRUE,FALSE,TRUE,4,1,5,1,5,11,"Ziggs","Bard",6.1,13436.5,19.5,9896,8554.5,4
"97",4637737860,"Lucian & Pantheon",100,FALSE,FALSE,TRUE,7,3,1,0,5,2,"Lucian","Pantheon",3.87,10630,33,9841.5,6712.5,5.5
"98",4637737860,"Ezreal & Bard",200,TRUE,FALSE,FALSE,4,1,6,0,0,12,"Ezreal","Bard",Inf,7345,44.5,5786.5,6953,5
"99",4641561896,"Ezreal & Thresh",100,TRUE,FALSE,FALSE,7,1,10,2,2,16,"Ezreal","Thresh",13.5,13868.5,43,10256,10640,8
"100",4641561896,"Yasuo & Gragas",200,FALSE,FALSE,TRUE,2,4,1,1,6,1,"Yasuo","Gragas",1.71,6688.5,35.5,14981.5,8873,5.5
"101",4643486003,"Ashe & Pyke",100,FALSE,FALSE,FALSE,3,6,10,5,7,8,"Ashe","Pyke",5.4,11139,37.5,14025,8409.5,4
"102",4643486003,"Tristana & Bard",200,TRUE,FALSE,TRUE,3,5,3,3,4,13,"Tristana","Bard",4.92,5475,32.5,13591.5,7809,4
"103",4644664520,"Jhin & Bard",100,FALSE,FALSE,FALSE,4,4,7,1,8,9,"Jhin","Bard",3.94,11939,52.5,21114,9485,7
"104",4644664520,"Cassiopeia & Lux",200,TRUE,FALSE,TRUE,7,1,5,3,6,16,"Cassiopeia","Lux",8.83,13742,68.5,15329.5,10663,7
"105",4644816055,"Senna & Bard",100,FALSE,FALSE,FALSE,1,6,7,5,9,6,"Senna","Bard",3.92,11143.5,42,20436.5,7481,6
"106",4644816055,"Kog'Maw & Lulu",200,TRUE,FALSE,TRUE,11,5,11,0,2,24,"Kog'Maw","Lulu",12.6,23422,44.5,15143.5,11526,4.5
"107",4644832679,"Lucian & Alistar",100,TRUE,TRUE,TRUE,5,4,6,1,1,14,"Lucian","Alistar",10.75,9520.5,28,14014.5,8825,6
"108",4644832679,"Jhin & Bard",200,FALSE,TRUE,FALSE,5,5,1,1,8,6,"Jhin","Bard",3.48,10112.5,42,15938,7301,5
"109",4644917953,"Ezreal & Morgana",100,TRUE,FALSE,FALSE,3,7,11,1,3,17,"Ezreal","Morgana",5.62,10994,30.5,11161.5,8233.5,4
"110",4644917953,"Jhin & Rakan",200,FALSE,FALSE,TRUE,4,6,7,3,6,9,"Jhin","Rakan",4.83,6565.5,28,14380,7374,4
"111",4646519612,"Yasuo & Rakan",100,FALSE,FALSE,TRUE,1,8,5,1,6,8,"Yasuo","Rakan",1.98,10639,54,21424.5,9938,4.5
"112",4646519612,"Cassiopeia & Bard",200,TRUE,FALSE,FALSE,7,7,12,3,1,20,"Cassiopeia","Bard",15.86,17697,75,27464,12346,4
"113",4646550628,"Jhin & Karma",100,TRUE,FALSE,TRUE,7,2,5,0,1,15,"Jhin","Karma",12.25,7551.5,24.5,8942,8420,4
"114",4646550628,"Ezreal & Bard",200,FALSE,FALSE,FALSE,2,4,1,1,5,4,"Ezreal","Bard",2.02,8099,27,10094.5,6111.5,3.5
"115",4646966562,"Varus & Lulu",100,TRUE,FALSE,TRUE,9,2,7,4,0,17,"Varus","Lulu",Inf,16115.5,37,11269,11090.5,4.5
"116",4646966562,"Ezreal & Bard",200,FALSE,FALSE,FALSE,3,8,2,2,7,3,"Ezreal","Bard",2.84,9472,35,17449.5,7589.5,4
"117",4648363017,"Jhin & Bard",100,TRUE,FALSE,FALSE,10,3,15,3,7,23,"Jhin","Bard",10.64,15631,52.5,14930.5,10865.5,9
"118",4648363017,"Ashe & Thresh",200,FALSE,FALSE,TRUE,2,6,8,1,7,11,"Ashe","Thresh",2.95,10508.5,43,16098.5,7606,6
"119",4648540775,"Ezreal & Bard",100,TRUE,FALSE,FALSE,16,6,15,2,7,20,"Ezreal","Bard",11.68,24208,52.5,20517,12498.5,6.5
"120",4648540775,"Orianna & Pyke",200,FALSE,FALSE,TRUE,6,6,10,2,7,11,"Orianna","Pyke",5.62,11447.5,69,18357.5,9958,10.5
"121",4649928171,"Ashe & Bard",100,TRUE,FALSE,TRUE,13,1,7,3,0,18,"Ashe","Bard",Inf,19218,77.5,12042,11352.5,6.5
"122",4649928171,"Jhin & Alistar",200,FALSE,FALSE,FALSE,3,3,1,0,10,4,"Jhin","Alistar",1.87,7332,31.5,16617,7419.5,3.5
"123",4654079313,"Senna & Sett",100,FALSE,FALSE,FALSE,8,7,14,2,8,10,"Senna","Sett",6.62,23483,58.5,29242,11213,6
"124",4654079313,"Ashe & Tahm Kench",200,TRUE,FALSE,TRUE,4,5,18,0,6,22,"Ashe","Tahm Kench",5.63,20194,57,22107.5,11326.5,7.5
"125",4654582612,"Aphelios & Alistar",100,FALSE,FALSE,TRUE,9,3,2,1,8,9,"Aphelios","Alistar",5.9,13814.5,37.5,18194.5,11233.5,5.5
"126",4654582612,"Ezreal & Lulu",200,TRUE,FALSE,FALSE,4,3,5,4,5,12,"Ezreal","Lulu",6.03,13925.5,60,16734.5,11688.5,6.5
"127",4655051742,"Ezreal & Bard",100,TRUE,FALSE,TRUE,3,3,7,1,3,12,"Ezreal","Bard",5.17,13250,82.5,15551.5,11307,8
"128",4655051742,"Ashe & Thresh",200,FALSE,FALSE,FALSE,5,0,8,1,4,9,"Ashe","Thresh",Inf,17284.5,60,14665.5,11556.5,8
"129",4655447677,"Yasuo & Sett",100,FALSE,FALSE,FALSE,1,9,6,2,9,12,"Yasuo","Sett",2.5,10078.5,34,19999,7055,5
"130",4655447677,"Ashe & Vel'Koz",200,TRUE,FALSE,TRUE,5,3,21,7,10,16,"Ashe","Vel'Koz",10.3,20838.5,45,15046,10909,4
"131",4655465287,"Twitch & Thresh",100,FALSE,FALSE,FALSE,3,7,9,2,6,10,"Twitch","Thresh",3.98,13626,55,17849.5,9945,7.5
"132",4655465287,"Miss Fortune & Nautilus",200,TRUE,TRUE,TRUE,10,4,10,1,3,14,"Miss Fortune","Nautilus",9.08,13858,57,13949.5,12961,8.5
"133",4655622111,"Caitlyn & Maokai",100,FALSE,FALSE,TRUE,10,6,11,2,8,16,"Caitlyn","Maokai",7.92,25796.5,59.5,29932.5,14614.5,12
"134",4655622111,"Ashe & Morgana",200,TRUE,FALSE,FALSE,3,8,20,4,5,30,"Ashe","Morgana",7.75,19205,69.5,23408.5,12518,6.5
"135",4655695460,"Caitlyn & Morgana",100,FALSE,TRUE,FALSE,4,6,6,1,3,10,"Caitlyn","Morgana",4.67,12258.5,61.5,14877,10932.5,9.5
"136",4655695460,"Twitch & Rakan",200,TRUE,TRUE,TRUE,5,4,11,0,4,15,"Twitch","Rakan",5.75,9574.5,56,13436,9838,7.5
"137",4656922880,"Kalista & Sett",100,FALSE,TRUE,FALSE,3,10,7,2,10,11,"Kalista","Sett",3.4,13663.5,44.5,27591,9801.5,5.5
"138",4656922880,"Jhin & Bard",200,TRUE,TRUE,TRUE,18,3,11,2,10,23,"Jhin","Bard",12.98,22886,55,21461,14032,7
"139",4657283344,"Jhin & Pantheon",100,FALSE,FALSE,TRUE,2,3,2,1,7,3,"Jhin","Pantheon",2.05,8788.5,43.5,14235.5,7316.5,4
"140",4657283344,"Lucian & Nautilus",200,TRUE,FALSE,FALSE,11,3,7,1,3,18,"Lucian","Nautilus",10.17,12969,35.5,16718,10185.5,7
"141",4660789107,"Kai'Sa & Pantheon",100,TRUE,FALSE,FALSE,5,2,4,2,6,7,"Kai'Sa","Pantheon",5.08,11910.5,65.5,13965.5,10077,8.5
"142",4660789107,"Ezreal & Thresh",200,FALSE,FALSE,TRUE,7,2,3,1,3,11,"Ezreal","Thresh",6.58,11894,30.5,16020,10031,7.5
"143",4660815856,"Ashe & Bard",100,FALSE,FALSE,FALSE,3,9,10,1,11,11,"Ashe","Bard",3.06,15264.5,71.5,24340.5,10442.5,8.5
"144",4660815856,"Jhin & Thresh",200,TRUE,FALSE,TRUE,14,4,16,2,4,23,"Jhin","Thresh",12.88,21255,57.5,22955.5,13691,6
"145",4661677080,"Jhin & Bard",100,FALSE,FALSE,FALSE,7,4,4,0,6,9,"Jhin","Bard",4.75,12908.5,44,16598.5,9753.5,8
"146",4661677080,"Ashe & Alistar",200,TRUE,FALSE,TRUE,3,5,14,1,4,17,"Ashe","Alistar",5.53,12242,45,22022.5,10772,5
"147",4661836937,"Lucian & Janna",100,FALSE,FALSE,TRUE,7,6,9,3,5,12,"Lucian","Janna",6.95,17664,73.5,24852,11836,8.5
"148",4661836937,"Miss Fortune & Maokai",200,TRUE,FALSE,FALSE,7,4,7,2,5,10,"Miss Fortune","Maokai",6.38,29090.5,51,28675.5,13495,5
"149",4661886275,"Caitlyn & Karma",100,FALSE,FALSE,FALSE,0,9,3,0,8,7,"Caitlyn","Karma",0.6,8997.5,17,12774.5,5441,3
"150",4661886275,"Jhin & Sett",200,TRUE,FALSE,TRUE,4,1,8,4,5,5,"Jhin","Sett",8.5,10076.5,30,13705,9336,3.5
"151",4661930562,"Miss Fortune & Leona",100,FALSE,FALSE,FALSE,3,8,9,3,5,12,"Miss Fortune","Leona",4.76,13692.5,39.5,18129.5,9261,4
"152",4661930562,"Tristana & Rakan",200,TRUE,FALSE,TRUE,18,3,9,1,5,26,"Tristana","Rakan",13.6,19438,46,14022.5,13366,4.5
"153",4662006743,"Lucian & Leona",100,TRUE,TRUE,TRUE,13,5,9,1,6,22,"Lucian","Leona",9.73,17449,51,17621.5,12025.5,6
"154",4662006743,"Jhin & Sett",200,FALSE,TRUE,FALSE,6,4,4,2,12,11,"Jhin","Sett",4.96,13667,39.5,18832.5,8815,7.5
"155",4662114502,"Ezreal & Sett",100,FALSE,FALSE,FALSE,1,5,2,2,6,3,"Ezreal","Sett",1.95,5834,24,13871,6471,2.5
"156",4662114502,"Kai'Sa & Pantheon",200,TRUE,TRUE,TRUE,13,3,4,4,3,10,"Kai'Sa","Pantheon",10.83,13984,39,11776.5,11521,5
"157",4662202821,"Aphelios & Shaco",100,TRUE,FALSE,FALSE,10,9,10,4,9,14,"Aphelios","Shaco",8.33,27582,63.5,19527.5,13144,6
"158",4662202821,"Jhin & Sett",200,FALSE,FALSE,TRUE,5,5,13,8,10,10,"Jhin","Sett",8.3,15903.5,53,27546.5,12088,8.5
"159",4662255116,"Miss Fortune & Lulu",100,TRUE,FALSE,TRUE,8,6,12,3,2,20,"Miss Fortune","Lulu",11.5,15310,62,16619,11974.5,1
"160",4662255116,"Twitch & Rakan",200,FALSE,FALSE,FALSE,9,6,3,1,8,11,"Twitch","Rakan",5.94,20322.5,50,22412,11375.5,12.5
"161",4662448778,"Caitlyn & Yuumi",100,TRUE,FALSE,FALSE,5,7,15,1,5,18,"Caitlyn","Yuumi",5.87,16635.5,37.5,10837,9980.5,5
"162",4662448778,"Mordekaiser & Senna",200,FALSE,FALSE,TRUE,4,5,2,2,7,15,"Mordekaiser","Senna",4.27,12373.5,41,19232,9014,4.5
"163",4663095492,"Lucian & Rakan",100,FALSE,FALSE,TRUE,2,5,1,0,4,3,"Lucian","Rakan",1.48,6104.5,31,11547.5,6396,5
"164",4663095492,"Ezreal & Bard",200,TRUE,FALSE,FALSE,6,2,5,3,1,10,"Ezreal","Bard",10.75,11456,39.5,8830.5,8239.5,1.5
"165",4663097849,"Mordekaiser & Lulu",100,FALSE,FALSE,TRUE,5,11,15,3,6,30,"Mordekaiser","Lulu",7.18,22294,61,32995.5,12704,9.5
"166",4663097849,"Lucian & Rakan",200,TRUE,TRUE,FALSE,18,9,7,4,8,30,"Lucian","Rakan",13.26,29933.5,97.5,31193.5,16820,9
"167",4663159360,"Ezreal & Karma",100,TRUE,FALSE,TRUE,7,4,7,7,7,16,"Ezreal","Karma",9.02,18081,38.5,16844.5,11690,5
"168",4663159360,"Lucian & Lulu",200,FALSE,FALSE,FALSE,7,8,8,2,7,12,"Lucian","Lulu",5.86,12777,34,18099,9904,2
